sa1,pop
1108223,162
1108224,292
1108225,228
1108226,270
1108227,361
1108228,288
1108229,337
1108230,399
1108231,351
1108232,512
1108233,612
1108234,539
1108235,317
1108236,0
1108237,450
1108238,490
1108239,213
1108240,494
1108241,443
1108242,328
1108243,474
1108244,490
1108245,404
1108301,563
1108302,228
1108303,411
1108304,250
1108305,406
1108306,183
1108307,324
1108308,320
1108309,377
1108310,382
1108311,178
1108312,330
1108313,330
1108314,395
1108315,389
1108316,376
1108317,364
1108401,406
1108402,0
1108403,561
1108404,445
1108405,271
1108406,226
1108407,520
1108408,298
1108409,507
1108410,393
1108411,157
1108412,236
1108413,449
1108414,493
1108415,550
1108416,363
1108417,305
1108418,349
1108419,331
1108420,169
1108421,434
1108422,234
1108423,189
1108424,257
1108425,261
1108426,460
1108427,557
1108428,337
1108429,352
1108430,501
1108431,521
1108432,290
1108433,623
1108434,334
1108435,423
1108436,629
1108438,430
1108439,809
1108440,449
1108441,308
1108442,244
1108443,472
1108444,576
1108445,301
1108446,412
1108501,0
1108502,599
1108503,16
1108504,342
1108505,405
1108506,325
1108507,389
1108508,325
1108509,216
1108510,569
1108511,297
1108512,466
1108513,294
1108514,334
1108515,293
1108516,289
1108517,454
1108518,363
1108519,621
1108520,137
1108521,14
1108522,19
1108523,279
1108524,402
1108525,385
1108526,220
1108527,532
1108528,492
1108529,499
1108530,272
1108531,449
1108601,392
1108602,222
1108603,301
1108604,274
1108605,268
1108606,202
1108607,195
1108608,357
1108609,425
1108610,196
1108611,342
1108612,270
1108613,386
1108701,206
1108702,281
1108703,362
1108704,226
1108705,180
1108706,208
1108707,218
1108708,216
1108709,343
1108710,279
1108711,237
1108712,171
1108713,323
1108801,0
1108802,980
1108803,432
1108804,423
1108805,200
1108806,399
1108807,0
1108808,400
1108809,384
1108810,323
1108811,825
1108812,510
1108813,478
1108814,379
1108815,466
1108816,395
1108817,571
1108818,538
1108819,316
1108820,709
1108901,321
1108902,553
1108903,256
1108904,449
1108905,537
1108906,309
1108907,173
1108908,743
1108909,415
1108910,327
1108911,547
1108912,439
1108913,0
1108914,541
1108915,406
